frame,source_path,raw_markers,raw_charuco_corners,perspective_markers,perspective_charuco_corners,selected_source,selected_markers,selected_charuco_corners,gain_over_raw,useful_for_calibration,selected_detection_image,selected_rectified_image
frame_000000,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000000.jpg,9,8,7,7,raw,9,8,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_000000_selected_raw_detection.jpg,
frame_000030,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000030.jpg,11,9,7,3,raw,11,9,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_000030_selected_raw_detection.jpg,
frame_000060,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000060.jpg,9,9,7,0,raw,9,9,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_000060_selected_raw_detection.jpg,
frame_000090,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000090.jpg,9,9,4,0,raw,9,9,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_000090_selected_raw_detection.jpg,
frame_000120,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000120.jpg,11,8,6,3,raw,11,8,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_000120_selected_raw_detection.jpg,
frame_000150,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000150.jpg,10,9,7,6,raw,10,9,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_000150_selected_raw_detection.jpg,
frame_000180,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000180.jpg,9,9,6,6,raw,9,9,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_000180_selected_raw_detection.jpg,
frame_000210,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000210.jpg,10,10,6,3,raw,10,10,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_000210_selected_raw_detection.jpg,
frame_000240,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000240.jpg,11,10,4,0,raw,11,10,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_000240_selected_raw_detection.jpg,
frame_000270,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000270.jpg,8,7,5,3,raw,8,7,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_000270_selected_raw_detection.jpg,
frame_000300,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000300.jpg,11,8,6,4,raw,11,8,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_000300_selected_raw_detection.jpg,
frame_000330,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_000330.jpg,9,9,5,2,raw,9,9,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_000330_selected_raw_detection.jpg,
frame_001050,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001050.jpg,6,5,5,0,raw,6,5,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001050_selected_raw_detection.jpg,
frame_001080,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001080.jpg,7,5,5,0,raw,7,5,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001080_selected_raw_detection.jpg,
frame_001140,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001140.jpg,6,4,6,1,raw,6,4,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001140_selected_raw_detection.jpg,
frame_001170,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001170.jpg,8,4,7,1,raw,8,4,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001170_selected_raw_detection.jpg,
frame_001230,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_001230.jpg,7,4,5,1,raw,7,4,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_001230_selected_raw_detection.jpg,
frame_002280,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002280.jpg,6,4,8,4,raw,6,4,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002280_selected_raw_detection.jpg,
frame_002340,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002340.jpg,4,2,5,4,perspective,5,4,2,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002340_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002340_perspective_selected_rectified.jpg
frame_002490,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002490.jpg,2,0,6,4,perspective,6,4,4,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002490_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002490_perspective_selected_rectified.jpg
frame_002580,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002580.jpg,7,2,9,4,perspective,9,4,2,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002580_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002580_perspective_selected_rectified.jpg
frame_002610,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002610.jpg,6,3,8,4,perspective,8,4,1,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002610_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002610_perspective_selected_rectified.jpg
frame_002670,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002670.jpg,6,4,5,0,raw,6,4,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002670_selected_raw_detection.jpg,
frame_002880,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002880.jpg,6,3,6,4,perspective,6,4,1,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002880_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002880_perspective_selected_rectified.jpg
frame_002910,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002910.jpg,7,3,8,5,perspective,8,5,2,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002910_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002910_perspective_selected_rectified.jpg
frame_002940,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002940.jpg,10,9,12,12,perspective,12,12,3,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002940_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_002940_perspective_selected_rectified.jpg
frame_002970,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_002970.jpg,8,8,7,7,raw,8,8,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_002970_selected_raw_detection.jpg,
frame_003000,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003000.jpg,7,7,8,5,raw,7,7,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003000_selected_raw_detection.jpg,
frame_003030,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003030.jpg,8,7,8,7,raw,8,7,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003030_selected_raw_detection.jpg,
frame_003060,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003060.jpg,8,8,9,10,perspective,9,10,2,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003060_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_003060_perspective_selected_rectified.jpg
frame_003090,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003090.jpg,9,9,7,6,raw,9,9,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003090_selected_raw_detection.jpg,
frame_003120,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003120.jpg,8,9,9,8,raw,8,9,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003120_selected_raw_detection.jpg,
frame_003150,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003150.jpg,8,9,7,7,raw,8,9,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003150_selected_raw_detection.jpg,
frame_003180,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003180.jpg,8,8,8,8,raw,8,8,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003180_selected_raw_detection.jpg,
frame_003210,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003210.jpg,9,9,10,11,perspective,10,11,2,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003210_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_003210_perspective_selected_rectified.jpg
frame_003240,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003240.jpg,6,4,6,3,raw,6,4,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003240_selected_raw_detection.jpg,
frame_003270,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003270.jpg,6,6,7,6,raw,6,6,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003270_selected_raw_detection.jpg,
frame_003300,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003300.jpg,7,6,7,5,raw,7,6,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003300_selected_raw_detection.jpg,
frame_003330,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003330.jpg,6,4,9,9,perspective,9,9,5,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003330_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_003330_perspective_selected_rectified.jpg
frame_003360,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003360.jpg,6,4,7,4,raw,6,4,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003360_selected_raw_detection.jpg,
frame_003390,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003390.jpg,7,6,8,7,perspective,8,7,1,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003390_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_003390_perspective_selected_rectified.jpg
frame_003420,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003420.jpg,6,4,8,7,perspective,8,7,3,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003420_selected_perspective_detection.jpg,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_perspective/frame_003420_perspective_selected_rectified.jpg
frame_003450,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003450.jpg,7,7,8,7,raw,7,7,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003450_selected_raw_detection.jpg,
frame_003480,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003480.jpg,8,8,10,8,raw,8,8,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003480_selected_raw_detection.jpg,
frame_003510,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003510.jpg,5,4,5,4,raw,5,4,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003510_selected_raw_detection.jpg,
frame_003570,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003570.jpg,5,5,6,5,raw,5,5,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003570_selected_raw_detection.jpg,
frame_003600,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003600.jpg,5,5,5,4,raw,5,5,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003600_selected_raw_detection.jpg,
frame_003630,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/data/raw_frames/frame_003630.jpg,5,5,5,5,raw,5,5,0,True,/Users/nilamaitrachaity/Desktop/equirectangular_charuco_calibration/results/hybrid_detection_selection/selected_detection/frame_003630_selected_raw_detection.jpg,
